id,geo,Genealogical researcher,GLAM professional,Government employee,Legal researcher,Member of the general public,Post-secondary researcher,Student,Teacher,Other Identification,Computer Science,Digital Humanities,Education,Environment/Climate,Gender Studies,Genealogy,Geography,Health,History,Indigenous Land Claims,Indigenous Studies,Information Science,Law,Linguistics,Literature,Political Science,Other Interest
118488584413,"Ottawa, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118488584313,"Vancouver, Canada",0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
118488550699,"Tucson, United States",1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,chinese history in canada
118488550688,"London, Canada",0,1,0,0,0,0,0,0,,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,
118488541922,"Gardiner, United States",0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,
118488536715,"Sacramento, United States",0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
118488534077,"Calgary, Canada",1,0,0,0,0,0,0,0,,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,
118488516018,"Nepean, Canada",0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
118488508365,"Ottawa, Canada",0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
118488501886,"Woodstock, Canada",0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,social history of my area through historic magazines 
118488490182,"Halifax, Canada",0,0,1,0,0,0,0,0,,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,
118488465542,"Victoria, Canada",1,0,0,0,1,0,0,0,historian,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,
118488460613,"Windsor, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118488444453,"Fredericton, Canada",1,0,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,
118488444373,"Halifax, Canada",0,0,0,0,0,1,0,0,,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,
118488440238,"Québec, Canada",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118488418493,"Toronto, Canada",0,1,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,
118488392407,"Toronto, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,
118488364339,"Charlottetown, Canada",0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118488346270,"Liverpool, United Kingdom",0,0,0,0,1,0,0,0,trying to trace my bhc relatives ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118488320070,"Vancouver, Canada",0,1,0,0,0,0,0,0,librarian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
118488317728,"Ottawa, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118488317623,"Thunder Bay, Canada",0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118488300188,"Burlington, Canada",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
118488290504,"Cornwall, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118488281182,"Montreal, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118488281135,"Kingston, Canada",1,1,0,0,1,0,0,0,archivist with a historical society in ontario,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,
118488229106,"Toronto, Canada",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118488223533,"Niagara Falls, Canada",0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118488214197,"Toronto, Canada",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,french studies
118488202662,"Lima, Peru",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,earth sciences
118488182010,"Newmarket, Canada",0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118488131341,"Oakville, Canada",0,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118488123849,"Lachine, Canada",0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118488090909,"Toronto, Canada",0,0,0,0,0,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118488072564,"Moncton, Canada",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118488056171,"Talkeetna, United States",0,0,0,0,0,0,0,0,kenaitze tribe athabaskan ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
118488023027,"Giza, Egypt",1,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
118488006698,"Dartmouth, Canada",1,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118488005233,"Calgary, Canada",0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
118487951785,"Freiburg im Breisgau, Germany",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,
118487884499,"Eastbourne, United Kingdom",0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118487862145,"Calgary, Canada",0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118487843578,"Seattle, United States",1,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118487838956,"Mission, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118487816424,"Langley, Canada",0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,
118487743466,"Seabright, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118487740669,"Creston, Canada",0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,
118487725885,"Winnipeg, Canada",0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118487720411,"Regina, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118487704275,"Winnipeg, Canada",0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118487703110,"Toronto, Canada",0,0,0,0,0,0,1,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118487686586,"Calgary, Canada",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
118487671409,"Guelph, Canada",1,0,0,0,0,0,0,0,historian,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118487665111,"Edmonton, Canada",1,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118487661794,"Kingston, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118487647479,"Pittsburgh, United States",1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118487640841,"Venice, United States",0,0,0,0,0,0,0,0,researcher for writing,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118487627819,"Ottawa, Canada",0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118487619345,"Brampton, Canada",0,0,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,sociology
118487567670,"Guelph, Canada",0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
118487555343,"Toronto, Canada",0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,
118487552255,"Albany, United States",0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,
118487548175,"Hamilton, Canada",0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118487544957,"Grand Falls-Windsor, Canada",0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,newfoundland history
118487534351,"Victoria, Canada",0,0,0,0,1,0,0,0,,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118487531853,"Calgary, Canada",1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118487527264,"Buffalo, United States",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pbs
