0,1,2,3,4,5,6,7,8
Geo,Genealogical researcher,GLAM professional,Government employee,Legal researcher,Member of the general public,Post-secondary researcher,Student,Teacher
"Ottawa, Canada",10,5,8,1,11,2,3,0
"Vancouver, Canada",2,3,0,1,6,3,1,1
"Tucson, United States",2,0,0,0,0,0,0,0
"London, Canada",6,1,0,0,6,6,5,1
"Gardiner, United States",0,0,0,0,1,0,0,0
"Sacramento, United States",0,0,0,0,1,0,0,0
"Calgary, Canada",3,4,0,0,9,5,11,2
"Nepean, Canada",1,0,0,0,2,1,1,1
"Woodstock, Canada",2,1,0,0,1,0,0,0
"Halifax, Canada",5,0,2,0,5,2,5,0
"Victoria, Canada",2,1,0,0,2,0,1,0
"Windsor, Canada",4,0,0,1,1,0,0,0
"Fredericton, Canada",7,1,3,0,3,2,1,0
"Québec, Canada",0,0,0,0,1,0,1,0
"Toronto, Canada",17,6,3,6,27,18,25,3
"Charlottetown, Canada",0,0,0,0,0,1,1,0
"Liverpool, United Kingdom",0,0,0,0,1,0,0,0
"Thunder Bay, Canada",0,0,0,0,3,0,0,1
"Burlington, Canada",1,0,0,0,1,1,2,0
"Cornwall, Canada",1,0,0,0,0,0,0,0
"Montreal, Canada",6,2,0,1,4,8,9,2
"Kingston, Canada",4,2,0,0,3,1,2,0
"Niagara Falls, Canada",1,0,0,0,2,1,0,0
"Lima, Peru",0,0,0,0,0,0,1,0
"Newmarket, Canada",0,0,0,0,1,0,0,0
"Oakville, Canada",0,0,0,0,2,1,0,0
"Lachine, Canada",0,0,0,0,1,0,0,0
"Moncton, Canada",3,1,0,0,1,0,1,0
"Talkeetna, United States",0,0,0,0,0,0,0,0
"Giza, Egypt",1,0,0,0,0,0,0,0
"Dartmouth, Canada",4,0,1,0,4,0,0,0
"Freiburg im Breisgau, Germany",0,0,0,0,0,0,1,0
"Eastbourne, United Kingdom",0,0,0,0,1,0,0,0
"Seattle, United States",2,0,0,0,0,1,1,0
"Mission, Canada",2,0,0,0,0,0,0,0
"Langley, Canada",1,0,0,1,1,0,1,0
"Seabright, Canada",1,0,0,0,0,0,0,0
"Creston, Canada",0,0,0,0,1,0,0,0
"Winnipeg, Canada",3,2,1,0,5,0,6,2
"Regina, Canada",4,0,1,0,3,0,0,0
"Guelph, Canada",3,1,0,1,3,2,0,0
"Edmonton, Canada",4,1,1,1,3,1,3,0
"Pittsburgh, United States",1,0,0,0,0,0,0,0
"Venice, United States",0,0,0,0,0,0,0,0
"Brampton, Canada",2,0,0,0,2,0,1,0
"Albany, United States",0,0,0,0,0,1,0,0
"Hamilton, Canada",3,0,1,0,4,0,2,0
"Grand Falls-Windsor, Canada",0,0,0,0,1,0,0,0
"Buffalo, United States",0,0,0,0,0,0,0,0
"St. Catharines, Canada",2,0,0,0,2,3,2,1
"Philadelphia, United States",1,0,0,0,0,0,1,0
"Black Mountain, United States",0,0,0,0,0,0,1,0
"Lethbridge, Canada",0,0,0,0,0,1,0,0
"La Prairie, Canada",0,0,0,0,0,0,1,0
"Dawson City, Canada",0,1,0,0,0,0,0,0
"Saint-Felix-de-Valois, Canada",1,0,0,0,0,0,0,0
"Livorno, Italy",0,0,0,0,0,0,0,1
"Longueuil, Canada",0,1,1,0,0,1,1,1
"Blanchard, United States",0,0,0,0,0,0,0,0
"Hawkesbury, Canada",1,0,0,0,0,0,0,0
"Puslinch, Canada",0,0,0,0,0,0,0,1
"Hinchinbrooke, Canada",1,0,0,0,0,0,0,0
"Brockville, Canada",2,0,0,0,4,1,0,0
"Rome, Italy",0,0,0,0,0,0,1,1
"Bathurst, Canada",1,0,0,0,0,0,0,0
"Vanløse, Denmark",0,1,0,0,0,0,0,0
"Glasgow, United Kingdom",0,0,0,0,0,0,1,0
"Surrey, Canada",1,0,0,0,1,1,4,0
"Winston-Salem, United States",0,0,0,0,0,0,1,0
"Welland, Canada",0,0,0,0,1,0,0,0
"Coquitlam, Canada",1,0,0,0,1,0,0,0
"Cambridge, Canada",2,0,0,0,6,1,0,0
"Oakland, United States",0,0,0,0,2,0,0,0
"Squamish, Canada",0,0,0,0,0,1,0,0
"Campbellford, Canada",0,0,0,0,1,0,0,0
"Eufaula, United States",1,0,0,0,0,0,0,0
"Riverton, United States",1,0,0,0,0,0,0,0
"Richibucto, Canada",2,0,0,0,0,0,0,0
"Orléans, Canada",0,0,0,0,0,0,0,0
"Peterborough, Canada",2,0,0,0,1,3,6,2
"Sydney, Canada",1,0,0,0,0,0,1,0
"Sebring, United States",0,0,0,0,0,1,0,0
"Whitby, Canada",0,0,0,0,0,0,0,1
"Courtenay, Canada",0,0,0,0,1,0,0,0
"Miami, United States",0,0,0,0,0,0,0,0
"Pointe-Claire, Canada",0,0,0,0,0,0,1,0
"Truro, Canada",3,0,0,0,0,0,0,0
"London, United Kingdom",0,0,0,0,0,0,2,0
"Kansas City, United States",0,0,0,0,0,0,2,0
"Delta, Canada",0,0,0,1,0,0,0,0
"Gloucester, Canada",0,0,0,0,0,0,1,0
"Salem, United States",0,0,0,0,0,0,1,0
"Ellensburg, United States",0,0,0,0,1,0,0,0
"Prince George, Canada",0,1,0,0,1,0,1,0
"Crystal Beach, Canada",0,0,0,0,0,0,0,1
"Simcoe, Canada",1,0,0,0,0,0,0,0
"Denver, United States",3,0,0,0,1,0,0,0
"Ashford, United Kingdom",0,0,0,0,1,0,0,0
