0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
id,city,region,country_name,latitude,longitude,Genealogical researcher,GLAM professional,Government employee,Legal researcher,Member of the general public,Post-secondary researcher,Student,Teacher,Other Identification,Computer Science,Digital Humanities,Education,Environment/Climate,Gender Studies,Genealogy,Geography,Health,History,Indigenous Land Claims,Indigenous Studies,Information Science,Law,Linguistics,Literature,Political Science,Other Interest
118488584413,Ottawa,Ontario,Canada,45.411,-75.7097,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118488584313,Vancouver,British Columbia,Canada,49.2958,-123.141,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
118488550699,Tucson,Arizona,United States,32.3098,-110.915,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,chinese history in canada
118488550688,London,Ontario,Canada,43.0147,-81.3049,0,1,0,0,0,0,0,0,,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,
118488541922,Gardiner,Maine,United States,44.2142,-69.7978,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,
118488536715,Sacramento,California,United States,38.5816,-121.4944,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
118488534077,Calgary,Alberta,Canada,51.0605,-114.1102,1,0,0,0,0,0,0,0,,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,
118488516018,Nepean,Ontario,Canada,45.3468,-75.7145,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
118488508365,Ottawa,Ontario,Canada,45.3973,-75.6883,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
118488501886,Woodstock,Ontario,Canada,43.1407,-80.7344,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,social history of my area through historic magazines 
118488490182,Halifax,Nova Scotia,Canada,44.6643,-63.6002,0,0,1,0,0,0,0,0,,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,
118488465542,Victoria,British Columbia,Canada,48.4771,-123.5313,1,0,0,0,1,0,0,0,historian,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,
118488460613,Windsor,Ontario,Canada,42.265,-83.0283,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118488444453,Fredericton,New Brunswick,Canada,46.0401,-66.3862,1,0,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,
118488444373,Halifax,Nova Scotia,Canada,44.631,-63.6405,0,0,0,0,0,1,0,0,,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,
118488440238,Québec,Quebec,Canada,46.7829,-71.2836,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118488418493,Toronto,Ontario,Canada,43.6639,-79.3916,0,1,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,
118488392407,Toronto,Ontario,Canada,43.6906,-79.4812,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,
118488364339,Charlottetown,Prince Edward Island,Canada,46.2761,-62.9985,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118488346270,Liverpool,England,United Kingdom,53.4113,-2.9759,0,0,0,0,1,0,0,0,trying to trace my bhc relatives ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118488320070,Vancouver,British Columbia,Canada,49.2643,-123.0961,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
118488317728,Ottawa,Ontario,Canada,45.4336,-75.6825,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118488317623,Thunder Bay,Ontario,Canada,48.352,-89.4649,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118488300188,Burlington,Ontario,Canada,43.3802,-79.7626,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
118488290504,Cornwall,Ontario,Canada,45.0224,-74.7537,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118488281182,Montreal,Quebec,Canada,45.5242,-73.593,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118488281135,Kingston,Ontario,Canada,44.2573,-76.473,1,1,0,0,1,0,0,0,,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,
118488229106,Toronto,Ontario,Canada,43.6922,-79.4309,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118488223533,Niagara Falls,Ontario,Canada,43.0741,-79.0666,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118488214197,Toronto,Ontario,Canada,43.7292,-79.393,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,french studies
118488202662,Lima,Lima,Peru,-12.0432,-77.0282,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,earth sciences
118488182010,Newmarket,Ontario,Canada,44.0539,-79.4487,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118488131341,Oakville,Ontario,Canada,43.4879,-79.7113,0,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118488123849,Lachine,Quebec,Canada,45.4342,-73.709,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118488090909,Toronto,Ontario,Canada,43.6911,-79.3353,0,0,0,0,0,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118488072564,Moncton,New Brunswick,Canada,46.1791,-64.9467,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118488056171,Talkeetna,Alaska,United States,62.2586,-150.116,0,0,0,0,0,0,0,0,kenaitze tribe athabaskan ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
118488023027,Giza,Giza,Egypt,30.008,31.2194,1,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
118488006698,Dartmouth,Nova Scotia,Canada,44.6747,-63.5094,1,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118488005233,Calgary,Alberta,Canada,51.0605,-114.1102,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
118487951785,Freiburg im Breisgau,Baden-Wurttemberg,Germany,48.0211,7.8177,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,
118487884499,Eastbourne,England,United Kingdom,50.7666,0.2852,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
