id,city,region,country_name,latitude,longitude,Genealogical researcher,GLAM professional,Government employee,Legal researcher,Member of the general public,Post-secondary researcher,Student,Teacher,Other Identification,Computer Science,Digital Humanities,Education,Environment/Climate,Gender Studies,Genealogy,Geography,Health,History,Indigenous Land Claims,Indigenous Studies,Information Science,Law,Linguistics,Literature,Political Science,Other Interest
118550735180,Southfield,Michigan,US,42.4734,-83.2219,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118550705817,Toronto,Ontario,CA,43.7064,-79.3986,0,0,0,0,0,0,0,0,heritage consultant,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118550702337,Charlottetown,Prince Edward Island,CA,46.2346,-63.1256,0,0,0,0,0,0,0,0,retired,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
118550702230,Toronto,Ontario,CA,43.7064,-79.3986,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118550695187,Toronto,Ontario,CA,43.7064,-79.3986,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118550693648,Burlington,Ontario,CA,43.3862,-79.8371,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,
118550686654,Madison,Wisconsin,US,43.0731,-89.4012,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118550680960,Toronto,Ontario,CA,43.7064,-79.3986,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118550669924,Fredericton,New Brunswick,CA,45.9454,-66.6656,0,0,0,0,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
118550661747,Dublin,Leinster,IE,53.3331,-6.2489,0,0,0,0,0,0,0,0,academic,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,
118550657956,Regina,Saskatchewan,CA,50.4501,-104.6178,0,0,0,0,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
118550656633,Madison,Wisconsin,US,43.0731,-89.4012,0,0,0,0,0,0,1,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
